Date,Australia,Brazil,Canada,Germany,France,Hongkong,Japan,Malaysia,US,India,Close
2019-12-19,1.269,7.07,1.65,-0.22,0.063,1.73,0.0,3.52,1.92,6.75,10296.290039
2019-12-20,1.289,7.07,1.61,-0.23,0.056,1.73,0.014,3.52,1.92,6.6,10229.490234
2019-12-23,1.299,6.97,1.63,-0.26,0.061,1.72,0.008,3.51,1.93,6.56,10056.209961
2019-12-27,1.31,6.9,1.59,-0.25,0.047,1.73,-0.007,3.46,1.88,6.5,10233.769531
2019-12-30,1.309,6.81,1.64,-0.21,0.125,1.79,-0.015,3.45,1.9,6.54,10365.959961
2020-01-06,1.206,6.83,1.58,-0.29,0.021,1.69,-0.025,3.37,1.81,6.57,10698.269531
2020-01-07,1.221,6.82,1.58,-0.28,0.022,1.66,-0.008,3.37,1.83,6.55,10829.049805
2020-01-08,1.188,6.77,1.62,-0.25,0.036,1.6,-0.013,3.36,1.87,6.56,10706.870117
2020-01-09,1.241,6.78,1.6,-0.2,0.059,1.66,-0.003,3.36,1.85,6.52,10898.169922
2020-01-10,1.257,6.77,1.59,-0.19,0.05,1.64,-0.003,3.36,1.83,6.59,10879.839844
2020-01-14,1.261,6.8,1.58,-0.17,0.082,1.62,0.012,3.37,1.82,6.66,10988.769531
2020-01-15,1.217,6.77,1.53,-0.21,0.05,1.6,0.008,3.36,1.79,6.62,10972.320313
2020-01-16,1.187,6.87,1.55,-0.21,0.047,1.6,0.008,3.36,1.81,6.6,10967.44043
2020-01-17,1.182,6.85,1.57,-0.22,0.043,1.62,-0.002,3.37,1.84,6.62,10954.389648
2020-01-21,1.163,6.78,1.51,-0.23,0.009,1.61,-0.007,3.36,1.78,6.63,10953.410156
2020-01-22,1.119,6.75,1.45,-0.25,-0.007,1.61,-0.002,3.27,1.77,6.64,11072.05957
2020-01-23,1.106,6.73,1.42,-0.28,-0.062,1.58,-0.023,3.22,1.74,6.6,10681.900391
2020-02-03,0.929,6.62,1.25,-0.44,-0.172,1.35,-0.06,3.2,1.54,6.5,9779.669922
2020-02-04,0.929,6.59,1.33,-0.41,-0.143,1.39,-0.049,3.2,1.61,6.5,10089.669922
2020-02-05,1.038,6.56,1.39,-0.37,-0.108,1.43,-0.033,3.2,1.66,6.51,10305.5
2020-02-06,1.097,6.5,1.37,-0.36,-0.112,1.48,-0.014,3.2,1.65,6.45,10601.339844
2020-02-07,1.048,6.61,1.33,-0.39,-0.133,1.47,-0.035,3.18,1.59,6.44,10611.549805
2020-02-10,1.013,6.56,1.31,-0.4,-0.163,1.45,-0.055,3.12,1.56,6.44,10728.459961
2020-02-12,1.069,6.51,1.39,-0.37,-0.134,1.47,-0.04,2.96,1.62,6.47,10940.799805
2020-02-13,1.048,6.55,1.39,-0.41,-0.145,1.45,-0.029,2.93,1.61,6.42,10864.320313
2020-02-14,1.053,6.45,1.36,-0.4,-0.155,1.48,-0.03,2.92,1.59,6.37,10916.30957
2020-02-18,1.024,6.49,1.33,-0.43,-0.169,1.42,-0.049,2.94,1.55,6.38,11306.490234
2020-02-20,0.994,6.58,1.3,-0.42,-0.218,1.37,-0.039,3.0,1.52,6.42,11509.089844
2020-02-26,0.91,6.74,1.21,-0.52,-0.172,1.21,-0.088,2.9,1.33,6.35,11497.549805
2020-02-27,0.846,6.69,1.16,-0.52,-0.263,1.15,-0.102,2.9,1.3,6.38,11534.019531
2020-02-28,0.81,6.78,1.12,-0.61,-0.293,1.05,-0.153,2.89,1.13,6.37,10980.769531
2020-03-02,0.797,6.57,1.12,-0.63,-0.172,0.98,-0.133,2.86,1.1,6.35,11381.759766
2020-03-03,0.785,6.53,0.96,-0.58,-0.172,1.01,-0.106,2.88,1.02,6.34,11484.209961
2020-03-04,0.713,6.54,0.97,-0.64,-0.172,0.9,-0.136,2.82,1.02,6.23,11493.019531
2020-03-05,0.773,6.74,0.84,-0.63,-0.346,0.94,-0.104,2.83,0.92,6.24,11711.370117
